辨識碼,卦序,卦名,組成,建議,運勢,愛情,求職,考試,事業
111111,1,乾,天,乾卦表示極陽之象，占卜到此卦表示你的能力已不是問題，有一定的水準了。不過要特別注意自身的應變能力。建議不要過於鑽牛角尖，做事要有彈性，自然而然各方面都能水到渠成。,有地位擢升、名利雙收之象，功名榮顯得貴子。六親和睦，凡事謙和為貴，可吉。,彼此之間切勿逞強，摒除自我主義的觀念方可成就，但常有鬧意見之情況。,會有貴人提拔相助，目標發展可順利順心。,成績表現不錯，成功有望。,能力強，能夠獨當一面。然而是否能夠亨通，則有待良好的時機。
222222,2,坤,地,坤卦表大地，天生之母性。占卜到坤卦表示你應當時時注意自身的態度，操之過急、太過積極反而可能會誤事而導致失敗。另外，對於想做的事當持之以恆，堅持到底，成功機率非常的高唷！也提醒你，此卦是適合追隨於人，不適合自己獨當一面。切記！謙卑退讓者才能招致更多的福氣。,諸事不宜急進，退守以靜制動者吉。坤者大地平靜，任其他物所摧而不為所動者大利也。若醉心私慾，違背常理，則有無情之災。,男主動，女主靜，緩進可成，急則有失。,結果不甚滿意，離理想有距離，建議可改變目標方向，較易成功。,成功機會較小，還要努力。希望不大。,小順。謙卑退讓，可找到好的老闆。但不利於創業。
212221,3,屯,水雷,屯卦代表的是眼前可能困難重重，不易達成目標，但不代表你註定會失敗。如果能夠一步一腳印地屯積實力，走過這最困難的階段，未來仍是一片光明。,逆勢，多有困惑，但不可妄進，宜守不宜進。堅定意志，凡事不可為一己之利而執意強行，皆有不成損破之象。宜步步為營，排除困難，始可通達。有初難後解之象。,不妥協，或已暫時失去連絡，否則就是出現不良狀況而有所阻礙，成就有困難也。而此卦男人得利，女人失利。,目前會有困難與挑戰，需要點時間來克服這狀況，不要灰心。,表現不如預期，仍要努力。不理想。,創業惟艱，應多注重自己實力的培養，基礎的奠定。
122212,4,蒙,山水,蒙卦代表的是蒙蔽不明，表示現在的能力不足以處理眼前的危機，最好的辦法是請教有經驗、智慧的人。不過請教前記得先做好準備，誠心前往，不要有一問再問的情況。,氣運不發，多迷惑。初時不順，須忍耐待機，漸可佳。切勿貿然行事或為人認保、作保，否則必有損失。凡事宜從上輩教誨，則運可通也。,此卦為未啟蒙之卦，致落花有意而流水無情。主要是缺乏勇氣與決心，致不成事也。若有成，此卦亦主勞碌耳。,時間尚未成熟，未能達到願望，且須耐心，待時間成熟，方可圓滿。,表現不如預期，仍要努力。不理想。,能力不足以應付。需要再多方學習，向人求教。
212111,5,需,水天,需卦是表需要、需求，但卻又是時機未到而著急著。此卦凶中帶吉，需耐心等待，不要輕舉妄動，則事情是可以如願成功的。,宜退守正道，不宜冒險前進，投機急取反而失利。須知貪小失大，智者必須待時也。,起初不如意，有耐心者方可成就，否則不成也。,不宜急取，急亦不得，再等待，再尋求。,成績未能達到目標，仍要多用功。,雖有能力，但目前還沒有適當的機會。先設法渡過眼前危機為宜。
111212,6,訟,天水,訟卦表訴訟、爭端之象。不要有過度偏執的情況，適時地放棄爭訟能保自身平安。切記，即便爭取到你自己想要的了，但後頭仍有許多的禍端等著你，眼前的福不代表往後持續都有福。,百事閉塞不通，傷害頻繁，受中傷而又易陷於奸計，不如意之運也。得饒人處且饒人，得過且過，莫再爭訟，否則皆不利也。,多事之時，是非頻頻，受中傷不易成也。,現階段恐未能達到心中想要的目標，等時間成熟，目標會較能達到。,表現離期望還有距離，要多加油。不理想。很差。,有爭議，有法律的風險。
222212,7,師,地水,師卦表軍隊打仗強烈抗爭之意，而若要帶兵打仗必須要師出有名。用人方面要找豐富經驗者為宜，無經驗者絕不可用。,事雖有不順、但要引以為鏡，記取教訓。不要圖私利而投機取巧。凡事應以正規而行，事物多變動，切忌獨立而行。困難多端，靠自己努力，摒除一切困難為上策。,慎防感情引起的衝突、傷害，難再有成。,獨立無望，有人扶持則可。單打獨鬥容易遇有挫折，建議找人一起幫忙建議,很認真，但不理想，繼續努力終有成就。,責任重大，很具挑戰性。無經驗勿試。
212222,8,比,水地,比卦表兄友比肩而站，一片融合互持、比和之意，主吉象。比卦重在積極，只要積極表現出你的誠意，就能受到青睞。,運氣平順，與人相親處事則吉。可獲貴人提拔，但不可得志而非份橫行急進，否則遭破遜也。,兩相情悅，可得良緣。,會有貴人相助，珍惜機會，成功有利有望。,恭喜可達理想目標，金榜題名。,應該積極努力經營好上下屬之間的關係。
112111,9,小畜,風天,小畜卦表示小有積蓄，是個小吉卦。即便稍有積蓄，仍要記得未來的不確定因素很多，做事以保守的態度為佳，選擇眼前立即就可達成的小目標會比較好。,有蓄聚、阻止之意。一陰畜五陽，雖有雲雨而不下，雨之不下，大地不能得到滋潤，故此運勢有反覆、有口舌、又難以急調，諸事宜忍耐，等待時機。尤其女人得此卦更應在行為上，對事或對人有所節制。,語言不和，意見分歧，不太如意。,現階段恐未能達到心中想要的目標，等時間成熟，目標會較能達到。,表現不如預期，仍須加油。不理想。,懷才不遇，前途不明。
111211,10,履,天澤,履卦表戰戰兢兢、如履薄冰而行，卻是有驚無險。只要記得凡事小心些，就可以亨通。履又為「禮」也。因此也要注意與長輩的應對上，不能有輕忽、不敬之意，做錯須立即反省。,有先勞後逸、始驚後安之意，雖有繁華，卻又反覆不和，故得此卦時為憂慮受危中而望喜渺。但謙虛反省請教於長者則吉。,相愛，但阻礙很多，雖然不易成功，但亦有以誠、禮相待而成婚姻者。,有貴人提拔，可發展，稱心。,有期望達到目標。有望。,必需循規蹈矩，凡事照規定來，注意上下的分工與份際，否則必然出重大差錯。
